Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lebanon,LBN,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,38.55881279
Lebanon,LBN,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,46.53659817
Lebanon,LBN,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,62.69239726
Lebanon,LBN,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,40.47565823
Lebanon,LBN,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,37.69413721
Lebanon,LBN,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,50.20138501
Lebanon,LBN,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,64.5637931
Lebanon,LBN,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,34.22686
Lebanon,LBN,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,40.72077778
Lebanon,LBN,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,45.9937875
Lebanon,LBN,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,41.67797917
Lebanon,LBN,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,37.05650862
Lebanon,LBN,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,36.18525217
Lebanon,LBN,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,48.48613333
Lebanon,LBN,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,29.80979167
Lebanon,LBN,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,31.054184
Lebanon,LBN,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,28.2164
Lebanon,LBN,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,38.5710566
Lebanon,LBN,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,46.37810476
Lebanon,LBN,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,57.35830137
Lebanon,LBN,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,44.47016883
Lebanon,LBN,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,73.77455919
Lebanon,LBN,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,71.19482289
Lebanon,LBN,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,74.94117647
Lebanon,LBN,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,47.53731343
Lebanon,LBN,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,54.12347826
Lebanon,LBN,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,58.94736842
Lebanon,LBN,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,54.32098765
Lebanon,LBN,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,31.46067416
Lebanon,LBN,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,56.21118012
Lebanon,LBN,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,52.30769231
Lebanon,LBN,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,74.25
Lebanon,LBN,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,74.70588235
